Complaints,0
"Horrible experience! Very frustrating!. Booked a trip through Expedia. The day before we were supposed to leave, they told me the hotel wasn't opened yet. Too late to book anything else, had to cancel the whole trip. They gave me credits. Now booked another trip, and they can't find the credits! Can't talk to anyone. No one speaks english. They blatantly lied to me about using the credit, had me use my credit card, and said they would refund the first tickets. Now, no credit!!! THEY SUCK!!!!!",booking
"Expedia offers NO HELP if there's a problem. This was a vacation package from Tulsa to Jamaica.  I was delayed at DFW; on hold for over an hour; no help with alternative flights; lost one day at expensive resort and had to pay to stay at an airport hotel.  Airline lost luggage; Expedia wouldn't help; lost another 2 days at resort. Paid to get luggage. Return trip, stranded at DFW again; had to pay two strangers to drive me home because Expedia wouldn't help me find a flight home. Spent almost $9,000 for a 9-day vacation and got only six.",booking
"Expedia Bundle Deal Review from London, England. We are due to fly to Orlando on Sunday for a weeks holiday with my sister and her family as we have recently lost our Mum. We booked the whole trip with Expedia. Last week we tried to confirm the villa both with Expedia and the villa company and discovered that Expedua hadn't confirmed with the villa company and they aren't answering they're phones so we now don't have a reservation despite us paying for it upfront. Expedia seem unable to find us anywhere to stay and my husband has now spent about 10 hours on the phone to the USA mostly on hold, still with no resolution. We are now unsure wether to travel and have not been given any idea what to do. Shambles.",booking
"Expedia Cheats Its Customers!. Here's the first half of my post: In November I bought 4 tickets to St. Croix as a Christmas gift for my daughter, son-in-law and 2 young grandchildren. I sent the itinerary to my daughter who indicated that the return trip wouldn't work because it included an 8+ hour...",booking
"EXPEDIA IS A SCAM. I will NEVER use Expedia again.  I bought a flight from Quito to the Galapagos for $168, which I thought was a great deal.  When I was about to leave the Galapagos, LAN charged me ANOTHER $168 to leave because Expedia sold me a ticket that was only for Ecuadorian citizens.  LAN's tickets clearly say on their website that the tickets at that price are only for Ecuadorian citizens, but NO WHERE on Expedia's site when buying the tickets does it say that only Ecuadorian's can buy them.  Therefore I was stranded and had to PAY DOUBLE to leave.  I could not afford to go at the more expensive price and would have not have gone if I had known.  Expedia will not help me out at all and claims it is an ""additional fee"" from the airline, however Expedia sold and American citizen, unknown to me, a ticket only Ecuadorian's can buy and I had to pay out of pocket.  This is absolutely ridiculous.  DO NOT BUY FROM EXPEDIA!",booking
Expedia Reservations Review. I provided correct name jn my reservation but they booked with incorrect name with the airline,booking
"INCOMPETENT customer service. I called to change the hotel portion of my bundle deal, the girl i talked to gave me a rate and i agreed to go ahead with the change, she didn't cancel the 1st hotel and booked the second  hotel with the wrong amount of people (it was an all inclusive hotel). She admitted to messing up the reservation and that someone would call me back. She assured me that I wouldnt be charged more then i had. No one called me back so i called back 2 days later and they would not give me the same deal. Because of one customer service person I do not have a reservation now and I am not able to cancel the flights and cannot get a bundle deal. So Im out hundreds of dollars. I am a long time Expedia customer that will never use them again.",booking
"Deceptive pricing on air fares. Beware of using Expedia to book international flights. I recently travel to New Zealand from Sydney on Virgin Australia airline, operated by Air New Zealand, via online tickets purchased through Expedia.com. When we went to check-in and check backage, the Air New Zealand agent could not check us in. After investigating the problem, she found that our tickets did not include any checked baggage, and we would have to pay $NZ 120 per bag (approximately $90 per bag). She recommended we check with the Virgin Australia desk and see if they could do anything. Virgin Australia asked us if we had booked via Expedia and we said yes. The agent told us that Expedia was notorious for selling tickets online as ""seat only"" without checked baggage inclusion. We wound up having to pay $NZ 480 for four checked bags.  When booking the flight online two U.S. past in front of my computer, and checked the dates and times and details closely, as we did notwant to make any errors in this connection from Sydney. Nowhere on the screen were we warned that baggage would cost us $NZ 90 extra per piece.  The fine print on the confirmation did have a comment that the airline may charge additional fees per baggage, but that was not unusual, most U.S, carrier charge $25 per bag, too, but no one charges $90 per bag.  This is an obvious ploy by Expedia to make their pricing seem more attractive, and per the airlines, many travelers get stung by this unexpected charge. I also fault Air New Zealand and Virgin Australia, as there had been a flight cancellation and re-routing involved. Our direct flight from Queenstown, NZ to Sydney Australia was cancelled out from under us, and they sent an email showing we now had a flight to Sydney from Wellington, NZ!  Since Queenstown (where our outbound return flight was supposed to originate) is over 500 miles away from Picton, then a 3-hour ferry ride From Picton to Wellington, I quickly called the airlines. They told me I had to contact Expedia to correct this oversight. Expedia made the correction, but charged us an additional fee for the added leg! The agent noted that our additional flight did not include baggage, and asked if we would be checking baggage. We said yes. He did not mention that our inbound portion from Sydney to Wellington did not show checked baggage either. I travel a lot (53 trips outside the USA since 1971, and uncounted vacation and business tripswithin the USA). I have never experience such a royal screw-up by an airline or travel service. I will never use Expedia to book a hotel, airline ticket or car again!",booking
"Expedia claimed that there is limitation on their system and they cannot locate my booking details.  Hence, I have to prove the mistake is on them which they know it's impossible.As Expedia is in control of the data bank and customers like us simply cannot get to it. ...",booking
"SHOULD GET WHAT YOU PAID FOR. WE CAME TO FREEPORT FOR OUR FATHER'S FUNERAL. TO LAY HIM TO REST. WE RESERVED THE ISLAND SEAS RESORTS. NEAR THE BEACH. NOT THE ISLAND PALM MARINA VILLAS. AFTER GOING BACK AND FORT WITH THE FRONT DESK PERSON. TRYING TO EXPLAIN THAT IT WAS NOT WHAT WE RESERVED. I CALLED EXPEDIA. THEY WERE ABSOLUTELY NO HELP WITH MY CHECK IN. SO 2:30AM THEY PUT US IN THE MARINA VILLAS. NOT WHAT WE PAID FOR. THE NEXT DAY WE HAD TO RESOLVE THIS ISSUE OURSELVES. HOTEL MADE A MISTAKE. WE BEEN WITH EXPEDIA FOR YEARS. AND THIS WAS SO DISAPPOINTING. THEY COULD NOT RESOLVE THIS FOR US. WE HAD TO DO IT FOR OURSELVES. AS FAR AS USING EXPEDIA AGAIN. WE HAVE OUR DOUBTS. WE HAVE HAD A SIMILAR ISSUE IN THE PAST WITH ANOTHER TRAVEL AGENT. BUT IT WAS RESOLVED RIGHT AT CHECK IN. THE PERSON WE SPOKE WITH DIDN'T HAVE A CLUE HOW TO HANDLE THESE SORT OF ISSUES. THIS WAS A TIME FOR US TO MORN FOR OUR FATHER. INSTEAD, WE SPENT PART OF OUR TRIP FIGHTING FOR WHAT WAS RIGHT. WHAT WE PAID FOR. AND YOU, EXPEDIA, WAS NO HELP. VERY DISAPPOINTING.",booking
Expedia Account Hacked - Horrible customer service. I had a HORRIFIC experience with Expedia and I will never use this website again once I use my remaining Expedia points. I had not used my account since May of 2014. I received a notification from my IPhone Expedia app alerting me I had booked a night at the Ritz Carlton and room were smeeling Bad with lots of Bugs.,booking
"Expedia booked me incorrectly. Confirmed and booked a flight and hotel over the phone. The booking information that was sent via e- mail was not what was discussed and confirmed. Called back the next day to change the booking, after spending more than and hour on the phone and being transferred to so- called supervisors they all told me that even though they were at fault they could not change anything without charging me $200 per person for the flight and over a $100 for hotel. I waited and additional 40 minutes to speak to someone in their corporate office and was hung up on twice. They called back the first time but not the second. NEVER AGAIN!!!!!",booking
"Terrible ""customer service"" Not honest in what they are selling!. We made the HUGE mistake of booking the Lonsdale Quay Hotel, North Vancouver, BC with this company.  Never have I ever done this before - NEVER will I ever do this again, based upon how I was treated and continue to be treated.  Suffice it to say, I was told I was getting the best possible price and for a slight upcharge that they would upgrade our room...........hmmmmm.  Turns out we paid twice as much as any other guest we met.  Guess Expedia must make their money any way that they can.......We arrive, our view is of an office building.  Hotel said they could do NOTHING because Expedia would not let them.  The room was absolutely filthy.  I have stayed in hotels for many years and travelled for work.  NEVER have I ever experienced this.  Called was cut off twice - SHOCKING.  Finally spoke to a ""supervisor"" - absolutely NO help whatsoever.  Told me to call corporate but also told me that I would have to wait on the phone - TWO HOURS - are you kidding me??????!!  I was in sales in the pharma industry.  IF I had treated customer like that - I would have lasted thirty days - MAX - NOT thirty years.",booking
"Expedia & Sixt car rental RIP OFF WARNING. Booked a car on Expedia at Nuremburg Germany Airport total price for  3 days was $146.01 Car was fine returned it to airport at 12:30/pm  as I told the rental clerk I couldn't make the 10:30/am ""she replied ""No Problem"" I had added my wife as a driver just in case, she...",booking
"The worst customer service in the world!. Through Expedia, I booked the flight, hotel and car rental for our recent trip to Orlando (Oct. 14-28). When we arrived at the airport after a long day, we tried to pick up our car and ran into a problem. I had booked the car in my husband's name but used my credit card so it now shows that we cannot use the car",booking
"Expedia for TD. On 25Oct2015 I booked an all inclusive vacation package with Expedia.ca (Expedia for TD). � The package included flight and hotel (staying at the Hilton rose Hill Resort - All Inclusive). � The expedia.ca website advertised ""This resort is all-inclusive. Onsite food was advertised but it was awful. The rooms were stinky and was near to a coal mine making the room nois",booking
Do not use Expedia...... Thank you for sharing your story.  My husband and I booked and paid for. A 2 night stay in Capitola CA. Through Expedia.The hotel had a 4.5 rating and was $200.00 for the first night and $180.00 for the second night. We thought this was a deal as it was a Holliday weekend.  Our room was awful.dirty old. There was no way to sit on the toilet. There was no room for your legs. We requested another room but none were available. We had to stay for the 2nd night. We were moved to another room but still not worth $180.00. This place was more motel than hotel. We called Expedia to complain.1-2-3-4-5- calls ranging in hold time from 30- 80 minutes. Every phone call ended with my manager will call you back. We are still waiting 15 days later. What to do? We feel so ripped off. By a great company????? Shame on you Expedia. Stealing money from people is what your doing.,booking
Expedia is the worst company dont use them. I had purchased a 2 night stay at Best Western Plus hotel in Illinois. NEVER again will I stay at that hotel. I called Expedia to let them know of my problems and they did nothing. I had complained to the hotel that my room had bugs centipedes same night I checked in they moved me but it was worse someone almost got in my room at 7 am if it wasnt for my latch they would have been in my room. All expedia said was that I needed to file a complaint with them which why would I if I have already prepaid for my room and what are they going to do NOTHING they would not give me my money back same day to get a full refund so I can go eslewhere. There people are horrible customer service terrible NEVER will I use EXPEDIA again so disappointed and disgusted. Peoples safety is not a concern for them,booking
"Stranded in Sarasota. Booked a car rental thru Expedia for car in Sarasota, Fl at Thrifty. Confirmation stated Thrifty location as off airport and to catch blue shuttle. Hours posted 0500 to midnight. Arrived in SRQ at 8:00pm only to find Thrifty closed at 5:00 pm. Had to take cab to destination and then back again the next day to get car for a total of $75 in cab fares. No apology, no response from either Expedia or Thrifty. That was 2 months ago. Guess what? They're still taking bookings for Thrifty up to midnight. Expedia does not respond to consumers let alone try to resolve a situation.",booking
"Hilton Garden Inn - Fiumocino Airport Rome, Italy. Due to Expedia's ""below Zero"" customer service, following a most unsatisfactory stay at the Rome Hilton Garden Inn, I will never - never - never use Expedia Again. Just after midnight, the Hilton Garden Inn air conditioner became inoperative. Provided desk personnel names, dates, emails, specifics to Expedia TWICE, after which they promised to call back next business day, only to advise me ""to call back if they did not call"". Disputed thru AMEX ---- Expedia responded ""non-refundable reservation"". What about ""MISREPRESENTATION"" when I booked a room that stated ""Air Conditioning"". I'm through with Expedia & probably Hilton Garden (immediately Prior Atlanta HGI was also disappointing).",booking
"Flight did not exist. Expedia's confirmation clearly said ""Your reservation is booked and confirmed. There is no need to call us to reconfirm this reservation"".  But when we tried to check in for our Aug 24, 2015 flight from Honolulu to Shanghai with connecting flight Shanghai to Jinan there was no such flight at all that day !  We spent HOURS and HOURS on the phone with Expedia, mostly on hold with a polite but incapable customer service representative with strong Indian accent who would come on, apologize for the delay, explain that he was not able to do anything about our situation and needed to talk to his supervisor whom he could not reach.  Eventually we were told the Honolulu to Shanghai flight was now rebooked for the following day. When we asked if the connecting flight was adjusted accordingly, we were put on hold again for hours without ever getting a clear answer. We made it to Shanghai where it turned out that Expedia had done nothing to adjust the connecting flight and we wound up spending 4 hours at the airport there trying to sort it out on our own.  We understand that flight schedule changes can happen but why were we not informed ??? Why was the connecting flight not adjusted ? When I submitted my complaint with Expedia I got a wishy-washy general template answer.  The hotels we booked through Expedia for this trip were all fabulous which is in line with our past experience with Expedia. But the experience with flights and customer service was a nightmare",booking
"Typo on the name - $2,000 in the trash. THE WORST EXPERIENCE I HAVE EVER HAD. Made a typo on my mother's name for a ticket from Lyon to Tortola, called both Airfrance and Expedia. Nobody knew what the *** was going on. After 8.5 hours on the phone with both (international calls) they kept bouncing me back and fourth. My mother's flight is on Saturday and we're not sure she'll be able to board as the typo is on her last name. The worst customer service I have ever experienced. Expedia, Airfrance: NEVER AGAIN. I should add I'm a VERY frequent flyer. My father is in the middle east, sister is in Asia and mother is in Europe. All those Business class tickets will be bought with ANY other company but Expedia and Airfrance !",booking
"Expedia Never booked my flights or reservations. Purchase tickets on line for 2 persons to go to Las Vegas. Waited to get a confirmation numbers for two weeks. Called Expedia to get the confirmation numbers and they did not have any booked  flights or the reservations under my name or phone number. I have a printout of the paperwork I submitted to book the flight which includes my credit card number and  flights numbers both down and back and reservations.  None of which were booked.  So what happened? Expedia could not give a *** about this, their on line people were very rude when I complained.",booking
Illogical booking. We have booked flights n hotel thro Expedia from Glasgow - Gatwick - Cancun and then return. (Also booked hotel)  Unfortunately we have been given return flights by Expedia from Cancun - Gatwick and then Heathrow - Glasgow. Now this is totally illogical.  Obviously our intent was to return to Glasgow via Gatwick.   Expedia tell me that I chose the Heathrow option.  I certainly did not consciously do so - and surely Expedia should have flagged my choice up at the time of booking as would have happened with a face to face travel agent?  We will be travelling from Cancun to Gatwick and so have had to purchase at huge price (over �500) to travel then on to Glasgow from Gatwick. This is a nonsense and unacceptable. I expect Expedia to deal with this and compensate us for the extra �500 outlay. I can assure you that I will never book thro Expedia again - there are not the prompts as they claim there are and any possible mistake in ticking the wrong box is not highlighted...................   This had cost us very dearly - a full 25% of our entire holiday. Perhaps Expedia might contact me to explain and compensate??,booking
Expedia reservation Review. Horrible experiencia estoy en punta Cana y reserve *** Expedia y cuando llego *** mi Nino de un ano al hotel royalton punta Cana resort Expedia no habia echo ninguna reserva y tube q pagar por srgunda vez malisimo servicio y sobre todo no me dan ni respuesta mi nombre es Dayana rodriguez por si quieren contactatme,booking
"NONDISCLOSURE. WE BOOKED A TRIP TO MONTEGO BAY FOR 11/8/15 THROUGH 11/12/15, STAYING AT HILTON ROSE HALL.  UPON COMPLETING MY PURCHASE AND LOOKING OVER MY CONFIRMATIONS, I REALIZED MY HOTEL WAS CONFIRMED 11/9/15 - 11/12/15. NOW, I PUT THE CORRECT DATES IN, SO I WAS UNDER THE ASSUMPTION THAT MY HOTEL WOULD BOOK FOR THE SAME DATES AS MY FLIGHT. BIG FAT ""NO"".  I PHONED EXPEDIA, WHO ADVISED ME TO CONTACT THE HOTEL AS EXPEDIA ""RAN OUT"" OF THE TYPE OF ROOM I BOOKED SO THEY JUST SHORTED ME A DAY.  I EVENTUALLY SPOKE WITH HOTEL WHO ALSO CONFIRMED THAT I DID NOT HAVE A ROOM FOR THE 8TH, EVEN THOUGH WE WOULD BE ARRIVING THAT DAY.  MY ONLY SOLUTION WAS TO PURCHASE A UPGRADED ROOM FOR 318.00/NT. I HAD USED EXPEDIA FOR MANY YEARS.  I WILL NEVER AGAIN.",booking
"booking Review from North Hollywood, California. I bought a flight ticket through Expedia for my mom. The airline is Volaris. Volaris does allow name change for a fee of $499 Mx pesos ( national Flight fee) however since I purchased the ticket through Expedia and Expedia does NOT require a DOB when purchasing a...",booking
Review. Just had a similar experience with Expedia . booked a hotel and last minute deal could not be honoured came up. i have been moved to another hotel nearly 2 kilometres away from where I wanted to be and of very inferior quality. Have just visited the original hotel and asked about the booking and they tell me experia were aware of this at the time they accepted my money for the original booking. experia are nothing short of robbers. They will not answer any emails or correspondence.  spoilt the holiday from day one. if they had informed me 6 weeks ago that they could not honour the booking i could have made different arrangements. anyone know of a good solicitor in these matters.,booking
Deceptive practices. I searched a hotel name and a 1888 number came up.  I thought I was speaking to reservations at the hotel.  I asked for a government rate since I was traveling on business.  I was told there were none.  I also said I was tax exempt and was told just to present the certificate at the hotel.  At no time was Expedia ever identified as the agent I was dealing with.  Even the confirmation document had no mention of Expedia.  I never book thru Expedia for business travel because it does not give government rate or tax exempt status.  I called customer service and was sent to 6. Yes 6 different numbers and had to give all my information each time. I finally got fed up and hung up but I am disputing the tax charge on my credit card. Expedia is very deceptive in their reservation practices.,booking
" Expidia. Done with Expedia.  Booked a hotel room thru Expedia for Sept 6th, 2015.  Got email from  Expedia that it was not necessary to confirm.  Upon arrival to hotel there was a sign on the door that said they were closed for remodeling. No cars, no staff, nothing.  I called Expedia customer service and got the runaround.  After one week, over two hours on telephone with customer service I still have not been able to get a refund.  Expedia customer service keep telling me that they need to talk to the hotel manager in order to refund my reservation.  They cannot understand that the hotel is CLOSED.  NOBODY IS THERE.  By the way, Expedia did inform me that if they do process a refund that there will be a cancellation fee almost equal to the amount of my charges.",booking
"Flight change, no update!. I'm stranded in San Jose from a flight change I was not notified for.  I purchased my flights 8 months in advance and I am a high volume Expedia user and expect amazing customer service.  Upon calling in for help, I spoke to a foreign operator who couldn't understand English asking me to verify and reverify all your name/numbers/itinerary/travel date/phone/email, etc... when stuck at the airport trying to resolve, this is infuriatingly redundant and insulting when they already have 100% of the information pulled up in front of them.  The communication barrier was painful, as was trying to decode her accent in my state of fury.  There was zero resolution from the operator, only stating that as per Expedia company policy that they email until the customer has verified or will call to verify.  Neither of those happened although the agent quoted the date the email was sent in April, I did not get it (I never delete email and have other updated itineraries in my email for other trips).  I asked where they failed as I did not respond to an email I did not get, and they said the issue was 'closed' and she did not know how it failed.  I was then told to take whatever the airline offered as a replacement.  Airline says drive to SF to catch a flight that leaves in 90 mins OR buy a ticket on Southwest for $300 OR buy a ticket for the next day.   NOT STOKED. Lesson learned, buy direct from the airlines if you don't need to bundle car/hotel.",booking
"Expidea even cannot issue a proper ticket. Fundamental fail as a travel agency.. Our flight from Sydney to San Jose has been changed by the airline, due to a schedule change, and has now left us with an invalid return journey, as we are now expected to make a flight change in 12min at LAX. After 7 calls to the customer service team, where we have been made to wait for close to 1h several times, and repeatedly hung up on, our new ticket has still not been reissued. This is a business trip on a tight schedule. This situation is causing problems for us as  we cannot confirm any meeting schedules with our clients. We have already called the airlines we are flying with directly. They are very helpful and willing to change our ticket, however, they cannot do this without Expedia's cooperation as the ticket is under Expedia control. We would appreciate it if you can issue a proper tickets soon as possible.   In addition, we would like to bring your attention that even though your call center staff have committed to calling us back, we have never received call backs.",booking
"Hertz and Expedia--NOT a match made in heaven. I got a great price for a Hertz rental car on Expedia.  I had also previously downloaded the Expedia app on my android phone so I could manage my flight and reservation.   Well when I got to the Hertz counter at MCO, the line was at least ten people deep, there was one poor dude working the counter who was obviously helping a customer where a car rental had gone wrong, and the line was not moving.  At all. I attemtped to cancel the reservation on my Expedia app, which by the way was not working properly.  And I had an important appointment I had to get to and it was clear I was not going to make the appointment with the extremely long line at Hertz.  BTW, there were no lines at all at any of the other car rental counters. I did take a chance by not waiting it out at the Hertz counter.  Expedia was no help at all.  When I called Hertz, they said I had to go thru Expedia.  Try to find a phone number for Expedia when your app isn't working.  What a joke.   So to make a long story short, I had to pay for the Hertz rental which I never used due to a ""nonrefundable reservation.""  So to sum it up, I will NEVER do business with either Hertz or Expedia again.  EVER.",booking
Expedia booking Review. I booked my honeymoon to Newfoundland and expedia put us in a basement hotel room in am aaful location. The entire experience was AWFUL!  never will i use expedia again !,booking
"Expedia booking Review from Tinley Park, Illinois. When i called a number to make a reservation i thought i was calling the motel. I asked the person that answered if this was the motel and they said yes. I preceded with questions and making a reservation. We had an incident at the motel and they were going to comp us part of the room but said they couldn't because we went through as third party. I didn't think we did because i asked specifically about it. When i called Expedia to ask about it there said they when they said they were there motel that i could take that any way that they didn't misrepresent themselves.",booking
"If The Termites Don't Get You The Bed Bugs Will. I made a reservation through Expedia for a king size bed/non-smoking room at Antilley Inn. Upon arriving at this location, nothing on the outside screamed turn your car around and get out while you can. This location has pretty nice curb appeal, except the parking lot is badly cracked and falling apart and is close to a really good hospital. So, I parked, picked up my room key from the office and drove to find my room. Even through I was running late for a prior engagement I made time to check this room out since I've been having some really bad luck with some other Abilene hotels and motels. The only thing I noticed was that the room had two beds in it except the king sized bed I had reserved. I thought to go ahead to my meeting and speak to the clerk when I get back, I' m sure this was an honest mistake. Somewhere between 9 and 9:30 P.M. I return to the motel and advise the clerk that that was not the room I reserved and continued to explain that I was not interested in double beds. The clerk tells me that the air conditioning on the second floor where all the king size beds are was out of order and that' s why I was put in this room. He told me that it would takes very long time to get it cool. At no time when I checked in or now at 9 did the clerk now I learn he is the owner/operator at this location never offered me a refund so that I might find a king size bed somewhere else in Abilene. It gets worst. So now I' m stuck with this room that I don't want since it's one of those Expedia deals (no cancellation or refunds) and find a swatch of blood on the bathroom door. Did I mention the air conditioner in our room isn't working right either. I call the clerk, about the blood and the owner comes to the room and cleans the blood off with his thumb. He swears it' s not blood but jam and that he and his wife clean the rooms. Personally, I think blood would not be left on the bathroom door of a clean room, jam either. The coffee pot and other appliances are dusty. The toilet doesn't flush right. Yeah. Before I forget. The air conditioner is set to 60 and several hours pass and the room still feels stuffy and like it' s in the upper 70's.  It's almost midnight and I finally get through to Expedia. And after several minutes on the phone with him I' m told that there is absolutely nothing that he can do for me. He' s also called the owner and tells me that he wants to put me in the hot room or I could get my money back without a penalty to get another room elsewhere. I told the man on the phone I'll stay, after all it is after midnight and my spouse is diabetic.  I don't know about any of the other rooms but the room I had had termites outside the room door I killed one that had gotten inside but probably the worst part of all was that the room has a terrible problem with bed bugs. I woke up with several bites and two huge red blotches on my body and took picture to prove it. I believe this bad situation could have been handled better, I would have liked to have been told at check in that the king size room was not available and right then been offered a refund to relocate.  The room mix up was no mistake.  The only mistake was that I booked a room there through Expedia. Never again Expedia. Never again. Buyer beware and stay here if you dare.",booking
